x_0,y_0,z_0,phi_0,theta_0
5.556190057878944,0.0,-164.51820915914976,0.0,-21.67491101904902
5.704205240617552,0.0,-164.61724997067665,0.0,-20.668530933322586
5.8504502242656935,0.0,-164.71887508866467,0.0,-19.662229066523842
5.994879843745639,0.0,-164.8230526887245,0.0,-18.656005723712056
6.137449513224786,0.0,-164.92975015584605,0.0,-17.649861174979605
6.278115239984624,0.0,-165.0389340952174,0.0,-16.643795655557483
6.416833638076685,0.0,-165.15057034328717,0.0,-15.637809365946424
6.553561941761375,0.0,-165.2646239790655,0.0,-14.63190247207153
6.688258018725419,0.0,-165.38105933566024,0.0,-13.626075105462576
6.820880383074222,0.0,-165.4998400120407,0.0,-12.62032736345548
6.951388208094887,0.0,-165.62092888502704,0.0,-11.614659309419046
7.079741338786543,0.0,-165.7442881214984,0.0,-10.609070973002432
7.205900304154185,0.0,-165.86987919081702,0.0,-9.603562350404353
7.329826329262386,0.0,-165.9976628774602,0.0,-8.598133404664651
7.451481347045887,0.0,-166.12759929385888,0.0,-7.592784065974044
7.570828009873344,0.0,-166.25964789343445,0.0,-6.587514232005731
7.687829700861521,0.0,-166.3937674838304,0.0,-5.58232376826362
7.802450544936567,0.0,-166.52991624033385,0.0,-4.577212508450067
7.91465541963967,0.0,-166.66805171948025,0.0,-3.5721802548504087
8.0244099656743,0.0,-166.80813087283892,0.0,-2.567226778732511
8.131680597192233,0.0,-166.95011006097002,0.0,-1.5623518207640927
8.236434511815977,0.0,-167.0939450675525,0.0,-0.5575550914417349
8.338639700395095,0.0,-167.23959111367364,0.0,0.44716372846563957
8.438264956494024,0.0,-167.38700287227726,0.0,1.4518049874610526
8.535279885609373,0.0,-167.536134482766,0.0,2.456369062854286
8.629654914114468,0.0,-167.68693956574765,0.0,3.460856360286435
8.721361297929144,0.0,-167.8393712379296,0.0,4.465267313247047
8.810371130913072,0.0,-167.99338212714403,0.0,5.469602382586473
8.89665735298068,0.0,-168.1489243875093,0.0,6.4738620560233215
8.980193757936187,0.0,-168.30594971471658,0.0,7.478046847653026
9.060955001027008,0.0,-168.46440936143847,0.0,8.482157297456382
9.13891660621437,0.0,-168.62425415285279,0.0,9.48619397081709
9.214054973159445,0.0,-168.78543450228048,0.0,10.490157458048145
9.286347383924149,0.0,-168.9479004269277,0.0,11.494048373938583
9.355772009385193,0.0,-169.1116015637307,0.0,12.497867357325035
9.422307915360461,0.0,-169.2764871853,0.0,13.501615070701028
9.485935068446798,0.0,-169.44250621595577,0.0,14.505292199880664
9.546634341568332,0.0,-169.60960724785463,0.0,15.508899453736568
9.604387519234642,0.0,-169.77773855720406,0.0,16.512437564044653
9.659177302507993,0.0,-169.94684812056255,0.0,17.51590728547751
9.710987313679263,0.0,-170.11688363122602,0.0,18.51930939581638
9.759802100651878,0.0,-170.28779251570379,0.0,19.522644696477656
9.80560714103353,0.0,-170.45952195029233,0.0,20.525914013509805
9.681336402669016,0.0,-170.67189759338996,0.0,21.525314255818486
9.720417751077727,0.0,-170.84216897431688,0.0,22.528490623042657
9.756503174629087,0.0,-171.0130902372805,0.0,23.53160467438171
9.789582075099343,0.0,-171.18460863885616,0.0,24.534657344172082
9.819644783933235,0.0,-171.35667127335228,0.0,25.537649620289613
9.676830505472887,0.0,-171.5543149731419,0.0,26.53697196310722
9.700431257610198,0.0,-171.72432193475754,0.0,27.539887869679205
9.721044875141734,0.0,-171.894707337057,0.0,28.542747894399398
9.73866551839525,0.0,-172.0654187538639,0.0,29.54555373524679
9.753288269772796,0.0,-172.23640373584843,0.0,30.54830782642881
9.764909134455767,0.0,-172.40760991178792,0.0,31.551014387677327
9.773525040412723,0.0,-172.57898529574172,0.0,32.553683047925084
9.779133835760895,0.0,-172.75047977529812,0.0,33.55634751643633
9.781734249841099,0.0,-172.9220652281079,0.0,34.55933951059458
9.78132631738652,0.0,-173.09352441728748,0.0,35.56060288874254
9.777910108573604,0.0,-173.26507331958945,0.0,36.56338575655965
9.771487502339129,0.0,-173.43650096363893,0.0,37.56584046291049
